What is an integrated service team?	"It is a team in which members are collected based on their area of knowledge to address <font color=""#00c3c3"">one common goal</font>. The key point here is that there areas in which member <font color=""#00c3c3"">knowledge overlaps</font> but each has <font color=""#00c3c3"">their own scope</font> in which they contribute to the team."	"<img src=""paste-13397f6fec53865ec513cd2574c03ca54587a5f5.jpg"">"	y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
What do you need to do to start building an integrated service team? (4)	"1. Identify your <font color=""#00c3c3"">needs</font><div>2. Identify your <font color=""#00c3c3"">limitations</font></div><div>3. Identify <font color=""#00c3c3"">who</font> you want to work with</div><div>4. <font color=""#00c3c3"">Build relationships</font> with other professionals</div>"	"<img src=""paste-9313627471cc0e59103994a346c94281eb38bb37.jpg"">"		KIN_240::Pre-Midterm_1::Integrated_Service_Team
Explain the sports medicine model for an integrated service team.	You have the athlete in the middle, then the sports therapist and conditioning coach on the outside that have the most info on the athlete<div>Eg: Chronic injuries, and day-to-day life</div><div>And then you have the others around that.</div>	"<img src=""paste-0fb305ee6bd36d38fa4a4582a75cfbdbdbd2a859.jpg"">"		KIN_240::Pre-Midterm_1::Integrated_Service_Team
What does CSEP stand for?	Canadian Society of Exercise Physiology			KIN_240::Pre-Midterm_1::Integrated_Service_Team
What does NSCA stand for?	National Strength and Conditioning Association			KIN_240::Pre-Midterm_1::Integrated_Service_Team
What are the two exercise certificates that CSEP provide?<div><br></div><div>Who can each prescribe exercise for?</div>	"<div>1. <font color=""#00c3c3"">Certified Exercise Physiologist</font>&nbsp;(CEP)<br></div><div>- basically the <font color=""#00c3c3"">top-tier exercise prescriptors</font> who can prescribe for <font color=""#00c3c3"">high performance athletes</font> and <font color=""#00c3c3"">disabled individuals</font></div><div><br></div><div>2. <font color=""#00c3c3"">Certified Personal Trainer</font> (CPT)</div><div>- basically the more <font color=""#00c3c3"">common trainer</font>, and is restricted to working with <font color=""#00c3c3"">healthy individuals ages 15-69</font></div>"	"<img src=""paste-650588aac0ce4448e6a87f462bd87b1aef3abb83.jpg"">"	y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
What are the 4 designations that NSCA provides? (International Organization)	1. Certified Strength and Conditioning Specialist<div>2. NSCA-Certified Personal Trainer</div><div>3. Tactical Strength and Conditioning Specialist</div><div>4. Certified Special Populations Specialist</div>	"<img src=""paste-453d8a023e93b8fe77f92d12cce912d468eded9b.jpg"">"	y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
What does AFLCA stand for? What is it for?	"Alberta Fitness Leadership Certification Association<div>- primarily provides support/training for fitness professionals</div><div>- <font color=""#00c3c3"">basically a weekend course</font> (LA Fitness trainers)</div>"	"<img src=""paste-86bb454079944db3d273b38fb5283e184f3e8c6c.jpg"">"		KIN_240::Pre-Midterm_1::Integrated_Service_Team
What does CSPA stand for? What does it do?	Canadian Sport Psychology Association<div>- Development of mental and emotional skills, techniques, attitudes, perspectives, and processes.</div>	"<img src=""paste-4e441f251579ab00cdc18d38e0a94560fa475a80.jpg"">"		KIN_240::Pre-Midterm_1::Integrated_Service_Team
"What is the use for us with <font color=""#00c3c3"">Dieticians of Canada</font>"	It is a valuable resource to consider because nutrition is out of our scope (not mine :))	"<img src=""paste-f2c6c1bd808541dc8ab9daedd5dc7a3ab987e7a5.jpg"">"		KIN_240::Pre-Midterm_1::Integrated_Service_Team
Sports Medicine Physician	A sports doctor, highly skilled in musculoskeletal injuries and is NOT the same as a family doctor.<div>- specialized for sport</div><div>- <b>referral</b>&nbsp;often needed</div>		y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
Sports Physiotherapist<div><br></div><div>What kind of level is it?</div>	Very similar scope of practice and training as an athletic therapist.<div>- basically a physiotherapist focused on sports</div><div><br></div><div><b>Certificate</b>&nbsp;and <b>Diploma </b>level.</div>		y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
Sports Chiropractor<div><br></div><div>How many hours of field work is needed for a Sports Chiropractor?</div>	Needs to learn exercise physiology, sport nutrition, sport psychology, advanced imaging, sport specific research, acute and chronic injury management and sport&nbsp;<span>administration training</span><div><span><br></span></div><div><b>1000</b>&nbsp;hours is needed!</div>		y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
Certified Athletic Therapist	"Specialize in musculoskeletal injury recognition, management, treatment, and return to activity.<div>- <font color=""#00c3c3"">human musculoskeletal system</font></div><div>- <font color=""#00c3c3"">exercise physiology</font></div><div>- <font color=""#00c3c3"">biomechanics</font></div><div>- <font color=""#00c3c3"">basic emergency care</font></div>"		y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
What are the four specific areas of expertise for a certified athletic therapist?	1. Prevention<div>2. Immediate Care</div><div>3. Clinical Assessment</div><div>4. Treatment, rehabilitation, and reconditioning</div>		y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
"Explain how an certified athletic therapist can help with <font color=""#00c3c3"">prevention</font>?"	- Equipment fitting and modification<div>- Conditioning</div><div>- Movement Screening</div>	"<img src=""paste-05d50236b82e03d1a334e463b0a5be3797be497b.jpg"">"	y	KIN_240::Pre-Midterm_1::Integrated_Service_Team
"Explain how a Certified Athletic Therapist specializes in&nbsp;<font color=""#00c3c3"">immediate care</font>?"	- Acute injury recognition and management<div>- Emergency interventions and EAP management (what is EAP?)</div><div>- On and off field evaluation skills</div>			KIN_240::Pre-Midterm_1::Integrated_Service_Team
Explain how a Certified Athletic Therapist specialises in clinical assessment?	- Understand pathology of injuries and illnesses<div>- Coordination with other medical practitioners</div>	"<img src=""paste-d5a6224ebf3e6be225218b0c72630a7e0219befc.jpg"">"		KIN_240::Pre-Midterm_1::Integrated_Service_Team
"Explain how a Certified Athletic Therapist specializes in <font color=""#00c3c3"">treatment, rehabilitation, and reconditioning</font>?"	- develop therapy skills through continuing education<div>- Emphasis on exercise based treatment and rehab (faster to get back into the game)</div><div>- Knowledge of exercise physiology</div><div>- Indentifying key performance indicators to guide and athlete's return to performance</div>			KIN_240::Pre-Midterm_1::Integrated_Service_Team
What are the three tissue reponses to strain?	1.&nbsp; Elastic Response<div>2. Yield Point</div><div>3. Tissue Failure</div>	"<img src=""paste-e2df0b13597cdb36c803458ec21a2f5403784602.jpg"">"		KIN_240::Pre-Midterm_1::Injury_Identification
Explain the elastic response to tissue strain	When tissue strain happens and there is no negative response<div>- tissue responds without deformation</div>		y	KIN_240::Pre-Midterm_1::Injury_Identification
Explain yield point to tissue strain.	This is the point in which the tissue is brought to the point of adaptation<div>- 'plastic' changes</div><div>- can either be positive or negative</div>		y	KIN_240::Pre-Midterm_1::Injury_Identification
