[2020-12-09 16:51:55]	 - Output instruction: {"instType":0}
[2020-12-09 16:51:58]	RCC - prev: {"nu":70,"lrn":11,"rev":135}, current: {"nu":70,"lrn":10,"rev":135}
[2020-12-09 16:51:58]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 16:52:13]	RCC - prev: {"nu":70,"lrn":10,"rev":135}, current: {"nu":65,"lrn":4,"rev":128}
[2020-12-09 16:52:13]	 - Output instruction: {"instType":0}
[2020-12-09 16:52:15]	RCC - prev: {"nu":65,"lrn":4,"rev":128}, current: {"nu":65,"lrn":3,"rev":128}
[2020-12-09 16:52:15]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 16:52:18]	RCC - prev: {"nu":65,"lrn":3,"rev":128}, current: {"nu":65,"lrn":3,"rev":127}
[2020-12-09 16:52:18]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:52:29]	RCC - prev: {"nu":65,"lrn":3,"rev":127}, current: {"nu":64,"lrn":3,"rev":127}
[2020-12-09 16:52:29]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 16:52:31]	RCC - prev: {"nu":64,"lrn":3,"rev":127}, current: {"nu":64,"lrn":3,"rev":126}
[2020-12-09 16:52:31]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:53:15]	RCC - prev: {"nu":64,"lrn":3,"rev":126}, current: {"nu":63,"lrn":4,"rev":126}
[2020-12-09 16:53:15]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-12-09 16:53:36]	RCC - prev: {"nu":63,"lrn":4,"rev":126}, current: {"nu":63,"lrn":4,"rev":125}
[2020-12-09 16:53:36]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:53:44]	RCC - prev: {"nu":63,"lrn":4,"rev":125}, current: {"nu":62,"lrn":4,"rev":125}
[2020-12-09 16:53:44]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 16:53:48]	RCC - prev: {"nu":62,"lrn":4,"rev":125}, current: {"nu":62,"lrn":4,"rev":124}
[2020-12-09 16:53:48]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
